,scenario,run,src_risk,few_shot_risk,trg_risk
268,syn_wal_41_to_dp_wal_41,8,0.0096,5.3255,5.3057
269,syn_wal_41_to_dp_wal_41,9,0.0151,3.3991,3.4628
270,syn_wal_42_to_dp_wal_42,0,0.0070,3.4185,2.7120
271,syn_wal_42_to_dp_wal_42,1,0.0030,3.5592,2.4696
272,syn_wal_42_to_dp_wal_42,2,0.0027,4.6625,3.0765
273,syn_wal_42_to_dp_wal_42,3,0.0052,3.4780,2.4211
274,syn_wal_42_to_dp_wal_42,4,0.0022,3.0035,2.6577
275,syn_wal_42_to_dp_wal_42,5,0.0077,3.4741,2.6083
276,syn_wal_42_to_dp_wal_42,6,0.0025,4.6169,3.3687
277,syn_wal_42_to_dp_wal_42,7,0.0167,3.4395,2.2082
278,syn_wal_42_to_dp_wal_42,8,0.0028,4.2485,3.1289
279,syn_wal_42_to_dp_wal_42,9,0.0012,3.4501,2.8745
280,syn_wal_43_to_dp_wal_43,0,0.0037,7.7873,5.4248
281,syn_wal_43_to_dp_wal_43,1,0.0244,4.0598,2.7368
282,syn_wal_43_to_dp_wal_43,2,0.0035,3.7490,2.4430
283,syn_wal_43_to_dp_wal_43,3,0.0011,5.4289,4.3110
284,syn_wal_43_to_dp_wal_43,4,0.0010,6.8321,4.1215
285,syn_wal_43_to_dp_wal_43,5,0.0085,7.8847,7.5740
286,syn_wal_43_to_dp_wal_43,6,0.0018,5.0659,3.4399
287,syn_wal_43_to_dp_wal_43,7,0.0122,3.8350,3.2475
288,syn_wal_43_to_dp_wal_43,8,0.0036,4.8735,3.4991
289,syn_wal_43_to_dp_wal_43,9,0.0024,5.6325,3.5567
290,syn_wal_44_to_dp_wal_44,0,0.0030,1.5708,1.4854
291,syn_wal_44_to_dp_wal_44,1,0.0017,0.9832,1.3238
292,syn_wal_44_to_dp_wal_44,2,0.0014,0.8966,1.4401
293,syn_wal_44_to_dp_wal_44,3,0.0012,1.3434,1.1968
294,syn_wal_44_to_dp_wal_44,4,0.0032,1.7328,1.2996
295,syn_wal_44_to_dp_wal_44,5,0.0023,1.3238,2.7776
296,syn_wal_44_to_dp_wal_44,6,0.0052,0.9498,0.7919
297,syn_wal_44_to_dp_wal_44,7,0.0043,1.7799,2.2138
298,syn_wal_44_to_dp_wal_44,8,0.0029,1.3870,1.7061
299,syn_wal_44_to_dp_wal_44,9,0.9915,4.5236,2.5973
300,syn_wal_45_to_dp_wal_45,0,0.0020,3.2774,2.1094
301,syn_wal_45_to_dp_wal_45,1,0.0017,2.7491,2.8626
302,syn_wal_45_to_dp_wal_45,2,0.0012,3.4271,2.4007
303,syn_wal_45_to_dp_wal_45,3,0.0008,2.8351,2.0240
304,syn_wal_45_to_dp_wal_45,4,0.0016,2.2411,2.8802
305,syn_wal_45_to_dp_wal_45,5,0.0008,2.6509,1.6574
306,syn_wal_45_to_dp_wal_45,6,0.0019,2.0012,1.6968
307,syn_wal_45_to_dp_wal_45,7,0.0005,2.5622,2.2144
308,syn_wal_45_to_dp_wal_45,8,0.0019,2.7029,1.9982
309,syn_wal_45_to_dp_wal_45,9,0.0010,3.3296,2.9396
