,scenario,run,src_risk,few_shot_risk,trg_risk
376,syn_43_to_dp_43,6,0.0008,0.9986,0.7554
377,syn_43_to_dp_43,7,0.0017,2.8222,1.6323
378,syn_43_to_dp_43,8,0.0016,1.8605,1.3124
379,syn_43_to_dp_43,9,0.0008,1.5721,1.0921
380,syn_44_to_dp_44,0,0.0054,1.2062,1.2496
381,syn_44_to_dp_44,1,0.0040,0.9584,1.1787
382,syn_44_to_dp_44,2,0.0130,1.9758,1.7203
383,syn_44_to_dp_44,3,0.0084,0.9727,1.0696
384,syn_44_to_dp_44,4,0.0118,0.7536,0.6200
385,syn_44_to_dp_44,5,0.0371,1.3412,2.4340
386,syn_44_to_dp_44,6,0.0061,1.2314,1.7652
387,syn_44_to_dp_44,7,0.0048,0.9994,1.0612
388,syn_44_to_dp_44,8,0.0036,1.1029,1.6536
389,syn_44_to_dp_44,9,0.0071,1.6387,1.3605
390,syn_45_to_dp_45,0,0.2426,7.9520,4.6988
391,syn_45_to_dp_45,1,0.0259,5.2358,3.6204
392,syn_45_to_dp_45,2,0.0131,2.5290,1.8258
393,syn_45_to_dp_45,3,0.0074,4.2801,2.8126
394,syn_45_to_dp_45,4,0.0181,3.6479,2.3131
395,syn_45_to_dp_45,5,0.0069,5.0676,3.2078
396,syn_45_to_dp_45,6,0.0204,3.9925,2.7863
397,syn_45_to_dp_45,7,0.0118,4.7265,3.0607
398,syn_45_to_dp_45,8,0.0018,5.7552,3.4261
399,syn_45_to_dp_45,9,0.0092,5.5392,3.6559
400,syn_46_to_dp_46,0,0.0016,2.2523,1.2613
401,syn_46_to_dp_46,1,0.0014,2.4451,1.6347
402,syn_46_to_dp_46,2,0.0200,0.8823,0.7244
403,syn_46_to_dp_46,3,0.0079,1.1345,0.9138
404,syn_46_to_dp_46,4,0.0229,0.9127,0.9482
405,syn_46_to_dp_46,5,0.0023,2.0593,1.3012
406,syn_46_to_dp_46,6,0.1627,1.5998,1.6317
407,syn_46_to_dp_46,7,0.0010,2.1920,1.3630
408,syn_46_to_dp_46,8,0.0019,2.1465,1.0515
409,syn_46_to_dp_46,9,0.0012,2.3194,1.4496
410,syn_47_to_dp_47,0,0.0086,1.2207,1.4787
411,syn_47_to_dp_47,1,0.0142,1.5897,1.4965
412,syn_47_to_dp_47,2,0.0048,1.4476,1.1576
413,syn_47_to_dp_47,3,0.0066,1.7809,1.0976
414,syn_47_to_dp_47,4,0.0429,1.6396,1.8042
